8.6	5431.66	5431.66
8.7	6002.91	6002.91
8.8	6634.24	6634.24
8.9	7331.97	7331.97
9	8103.08	8103.08
9.1	8955.29	8955.29
9.2	9897.13	9897.13
9.3	10938	10938
9.4	12088.4	12088.4
9.5	13359.7	13359.7
9.6	14764.8	14764.8
9.7	16317.6	16317.6
9.8	18033.7	18033.7
9.9	19930.4	19930.4
10	22026.5	22026.5
